pair,qx,qy,model_improve,actual_improve
491,3,-1,8.771137800067663e-06,-3.6977260606363416e-05
493,3,2,2.0534920622594655e-05,-3.7559366319328547e-05
538,-25,2,4.423517384566367e-05,-3.793759969994426e-05
234,-27,-1,0.0002315261954208836,-3.9270613342523575e-05
39,-1,-1,4.882225766777992e-06,-4.062654625158757e-05
424,5,0,4.425732186064124e-06,-4.174490459263325e-05
154,-4,1,1.58543698489666e-05,-4.308577626943588e-05
545,-2,-2,1.2548989616334438e-06,-4.5512220822274685e-05
266,-5,0,2.3962187697179615e-05,-4.628944589057937e-05
380,-4,1,2.539207343943417e-06,-4.696013638749719e-05
180,-3,-1,7.917999755591154e-05,-4.748767241835594e-05
537,-21,-1,0.00010149157606065273,-4.861393244937062e-05
163,-3,1,2.8191949240863323e-05,-4.868250107392669e-05
14,-2,0,1.0972871677950025e-05,-5.210630115470849e-05
574,1,-5,1.7483208466728684e-05,-5.267872984404676e-05
564,4,-1,2.8399445000104606e-05,-5.285929364617914e-05
181,2,-1,3.652297891676426e-06,-5.307258106768131e-05
183,2,-2,2.6331515982747078e-05,-6.076635327190161e-05
27,3,0,6.278459295572247e-06,-6.129332177806646e-05
236,-28,-2,7.018451287876815e-05,-6.603923975490034e-05
437,6,-1,2.069916808977723e-05,-6.678872159682214e-05
580,4,1,5.817613782710396e-05,-6.735450006090105e-05
260,0,2,5.464637069962919e-06,-7.154927880037576e-05
406,1,2,3.764522261917591e-06,-8.019839879125357e-05
456,-7,2,3.734254278242588e-05,-8.04922019597143e-05
518,4,-2,4.141509998589754e-05,-8.500544936396182e-05
578,5,0,6.745249265804887e-07,-8.646442438475788e-05
186,2,2,2.8541136998683214e-05,-9.20337624847889e-05
529,-10,0,2.563427551649511e-05,-9.409021004103124e-05
500,4,-2,0.0001754558179527521,-9.464810136705637e-05
502,4,-1,1.2094329576939344e-05,-9.789137402549386e-05
276,-4,-1,6.883341120555997e-05,-9.940692689269781e-05
148,0,2,6.530678365379572e-05,-0.00010055687744170427
396,-4,2,8.526933379471302e-05,-0.00010058237239718437
351,3,-1,1.2790784239768982e-05,-0.00010241544805467129
196,0,2,1.5813042409718037e-05,-0.00010357203427702188
583,12,1,2.547068288549781e-05,-0.00011082789569627494
40,-3,2,3.7171139410929754e-06,-0.00011730588448699564
243,-17,-1,3.668658791866619e-05,-0.00011740662012016401
590,-5,0,1.307245111092925e-05,-0.00011791620636358857
67,-4,-2,5.632196553051472e-05,-0.00012067565694451332
81,-3,0,7.487426046282053e-06,-0.00012098869774490595
572,25,-4,1.1591691873036325e-05,-0.00012105517089366913
519,4,-1,1.3623590348288417e-05,-0.0001253590453416109
9,-25,1,0.00011038683442166075,-0.00012660163338296115
463,-10,0,1.7333768482785672e-06,-0.0001308298233198002
532,3,0,4.826011718250811e-06,-0.00013385368220042437
414,-23,1,5.301638157106936e-05,-0.00014147243928164244
541,-1,2,3.2609503250569105e-05,-0.00014155596727505326
346,-13,10,0.00010341622692067176,-0.00014254002599045634
12,-15,0,0.0001240470755874412,-0.00014719553291797638
106,-1,2,5.630240775644779e-05,-0.00014850357547402382
549,-10,0,4.4893473386764526e-05,-0.00016015581786632538
215,3,0,3.327568992972374e-05,-0.00016198985395021737
323,3,-2,3.0539376894012094e-05,-0.00017076698713935912
573,3,2,8.34469756227918e-06,-0.0001773993717506528
535,-1,2,8.71333759278059e-06,-0.00017835834296420217
556,3,-1,1.0758201824501157e-05,-0.00017979322001338005
469,9,-5,1.1575131793506444e-05,-0.00019166107813362032
2,6,5,0.00012514812260633335,-0.0001959028304554522
242,-10,-5,9.538445738144219e-06,-0.00019715461530722678
203,-3,5,2.7137459255754948e-05,-0.00020993570797145367
594,-4,0,9.89321506494889e-07,-0.0002266966475872323
329,4,-2,7.825525244697928e-06,-0.0002473264466971159
592,29,0,1.6537356714252383e-05,-0.0002585983311291784
4,-2,-2,7.188587915152311e-06,-0.00025930683477781713
354,-25,1,6.051614764146507e-05,-0.0002619636943563819
