pair,qx,qy,model_improve,actual_improve
281,2,0,5.390029400587082e-07,-6.831571226939559e-05
153,-4,-2,4.270428325980902e-05,-7.032149005681276e-05
72,-4,-1,2.6468303985893726e-05,-7.06362770870328e-05
576,-3,2,9.331284672953188e-06,-7.087101403158158e-05
260,0,2,5.449102900456637e-06,-7.154927880037576e-05
27,3,0,2.714139554882422e-06,-7.96542881289497e-05
129,1,-1,1.1744676157832146e-05,-8.113705553114414e-05
14,-2,0,1.3530079741030931e-06,-8.179532596841455e-05
546,4,1,3.755558282136917e-06,-8.229666855186224e-05
249,-13,-5,2.6672903914004564e-05,-8.335572783835232e-05
578,5,0,5.440670065581799e-07,-8.479099778924137e-05
474,-16,0,2.019066641878453e-05,-9.031533409142867e-05
186,2,2,2.7121102903038263e-05,-9.20337624847889e-05
326,-4,0,1.1638912837952375e-06,-9.283982217311859e-05
529,-10,0,2.3912027245387435e-05,-9.409021004103124e-05
502,4,-1,1.6258942196145654e-05,-9.690513252280653e-05
581,0,2,1.3551980373449624e-06,-9.711983875604346e-05
336,3,-2,1.3223732821643353e-05,-9.738537482917309e-05
148,0,2,6.518163718283176e-05,-0.00010055687744170427
196,0,2,1.5914556570351124e-05,-0.00010357203427702188
386,-5,0,5.469206371344626e-06,-0.00010404865315649658
3,-2,-2,4.308145435061306e-06,-0.00010450836271047592
106,-1,2,6.9477129727602e-05,-0.00010517379269003868
11,-3,-2,8.258721209131181e-07,-0.00010729974746936932
46,-4,1,2.1166248188819736e-05,-0.00010755969560705125
526,3,-1,6.8766530603170395e-06,-0.00010886869858950377
583,12,1,2.3363470972981304e-05,-0.00012078866711817682
211,-1,-2,8.761708158999681e-07,-0.00012594435247592628
590,-5,0,1.344804695690982e-05,-0.00012606478412635624
9,-25,1,0.0001085495350707788,-0.00012636365136131644
81,-3,0,4.856003215536475e-06,-0.00012656778562813997
69,1,-1,2.9671937227249146e-06,-0.00012768618762493134
280,-3,-1,1.7060141544789076e-05,-0.00012939923908561468
532,3,0,5.532026989385486e-06,-0.00013218261301517487
67,-4,-2,3.205041866749525e-05,-0.0001421163324266672
12,-15,0,0.00012461699225241318,-0.00014719553291797638
41,4,-2,2.2504264052258804e-06,-0.00014992995420470834
340,7,1,3.907375503331423e-05,-0.00016077092732302845
215,3,0,3.410826320759952e-05,-0.00016198985395021737
