pair,base_mse,best_mse,improve,dx,dy,qx,qy
158,0.0012586143566295505,0.0010964875109493732,0.0001621268456801772,1.8,-0.2,18,-2
103,0.0010046487441286445,0.0008453310001641512,0.00015931774396449327,-0.4,0.2,-4,2
434,0.0011142038274556398,0.0009616150055080652,0.00015258882194757462,0.3,-0.2,3,-2
307,0.00048601231537759304,0.0003348405589349568,0.00015117175644263625,0.0,-0.2,0,-2
383,0.0002048928727163002,5.873751797480509e-05,0.0001461553547414951,0.2,0.1,2,1
426,0.0010412309784442186,0.0008957639802247286,0.00014546699821949005,0.2,0.1,2,1
152,0.0012029540957883,0.0010589336743578315,0.00014402042143046856,-0.3,-0.1,-3,-1
217,0.0003432088706176728,0.00020318623865023255,0.00014002263196744025,-2.9,0.2,-29,2
510,0.000491337850689888,0.0003528226516209543,0.00013851519906893373,-1.7,0.2,-17,2
83,0.00023672785027883947,9.860112913884223e-05,0.00013812672113999724,0.7,0.0,7,0
453,0.00032325711799785495,0.00018662055663298815,0.0001366365613648668,0.5,-0.1,5,-1
514,0.0003329363826196641,0.00019719693227671087,0.0001357394503429532,-1.1,0.7,-11,7
133,0.0010511355940252542,0.0009202006622217596,0.0001309349318034947,-0.1,0.2,-1,2
11,0.00015653281298000365,2.8748894692398608e-05,0.00012778391828760505,0.4,0.1,4,1
128,0.0025073648430407047,0.002381631638854742,0.00012573320418596268,0.3,0.1,3,1
416,0.00018008807091973722,5.479107130668126e-05,0.00012529699961305596,-0.1,0.0,-1,0
2,0.00017433175526093692,4.918363265460357e-05,0.00012514812260633335,0.6,0.5,6,5
12,0.00014598260167986155,2.1935526092420332e-05,0.0001240470755874412,-1.5,0.0,-15,0
46,0.00016455729200970381,4.2394087358843535e-05,0.00012216320465086028,-0.2,0.1,-2,1
102,0.0007514773169532418,0.0006348327733576298,0.00011664454359561205,0.2,-0.2,2,-2
269,0.00027558632427826524,0.0001594308705534786,0.00011615545372478664,-2.3,-0.2,-23,-2
597,0.00019522345974110067,7.935379107948393e-05,0.00011586966866161674,-2.1,-0.5,-21,-5
296,0.000232152349781245,0.00011644749611150473,0.00011570485366974026,-0.1,0.2,-1,2
261,0.00019667767628561705,8.173495007213205e-05,0.000114942726213485,1.0,0.1,10,1
117,0.0011549314949661493,0.001040527131408453,0.00011440436355769634,-0.4,0.1,-4,1
554,0.00047797750448808074,0.00036472518695518374,0.000113252317532897,-0.7,0.0,-7,0
278,0.0004962712409906089,0.0003835144452750683,0.00011275679571554065,-1.0,-0.1,-10,-1
474,0.00012028678611386567,7.702867151238024e-06,0.00011258391896262765,-1.4,0.1,-14,1
598,0.0003541682963259518,0.00024177580780815333,0.00011239248851779848,0.0,0.1,0,1
118,0.0008877819636836648,0.0007766791386529803,0.00011110282503068447,1.2,0.1,12,1
9,0.00014821196964476258,3.7825135223101825e-05,0.00011038683442166075,-2.5,0.1,-25,1
221,0.0011870458256453276,0.0010787174105644226,0.00010832841508090496,-0.6,0.2,-6,2
330,0.0003436477272771299,0.00023712401161901653,0.00010652371565811336,0.0,-0.1,0,-1
425,0.0009525860659778118,0.0008487931918352842,0.00010379287414252758,0.2,0.0,2,0
346,0.0002431908214930445,0.00013977459457237273,0.00010341622692067176,-1.3,1.0,-13,10
58,0.00048742786748334765,0.0003840985882561654,0.00010332927922718227,-0.7,-0.2,-7,-2
63,0.0011003254912793636,0.0009971971157938242,0.00010312837548553944,-0.1,0.0,-1,0
315,0.0005347232217900455,0.0004324282053858042,0.00010229501640424132,0.5,-0.1,5,-1
537,0.0007782154716551304,0.0006767238955944777,0.00010149157606065273,-2.1,-0.1,-21,-1
153,0.0018312509637326002,0.0017301447223871946,0.00010110624134540558,-0.4,-0.2,-4,-2
340,0.0003078377339988947,0.00020701908215414733,0.00010081865184474736,-2.6,-0.1,-26,-1
452,0.000355089403456077,0.0002547656185925007,0.00010032378486357629,-1.7,0.1,-17,1
444,0.0003262437821831554,0.0002284016227349639,9.784215944819152e-05,-0.1,-0.1,-1,-1
69,0.0025400444865226746,0.002443650970235467,9.63935162872076e-05,0.0,-0.1,0,-1
80,0.0002074697258649394,0.0001129213924286887,9.454833343625069e-05,0.1,0.0,1,0
282,0.000604333879891783,0.0005116913234815001,9.264255641028285e-05,0.2,-0.1,2,-1
45,0.00011672922846628353,2.44160219153855e-05,9.231320655089803e-05,-2.5,0.0,-25,0
